"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"23.09.2022","4,7589","4,7522","4,7719","4,7302","146,38K","0,13%"
"22.09.2022","4,7526","4,7807","4,7898","4,7486","161,25K","-0,34%"
"21.09.2022","4,7688","4,7350","4,8047","4,7210","144,26K","0,86%"
"20.09.2022","4,7280","4,7039","4,7466","4,7016","133,36K","0,61%"
"19.09.2022","4,6994","4,7203","4,7267","4,7010","132,29K","-0,27%"
"16.09.2022","4,7123","4,7231","4,7302","4,7078","134,50K","-0,17%"
"15.09.2022","4,7201","4,7165","4,7378","4,7091","130,10K","0,16%"
"14.09.2022","4,7127","4,7220","4,7396","4,7090","151,04K","-0,08%"
"13.09.2022","4,7167","4,6919","4,7269","4,6628","139,31K","0,63%"
"12.09.2022","4,6870","4,7113","4,7218","4,6873","117,23K","0,07%"
"09.09.2022","4,6837","4,7071","4,7346","4,6856","137,78K","-0,38%"
"08.09.2022","4,7018","4,7053","4,7354","4,6943","143,55K","0,03%"
"07.09.2022","4,7004","4,7309","4,7424","4,7037","142,90K","-0,56%"
"06.09.2022","4,7268","4,7223","4,7445","4,7043","154,28K","0,22%"
"05.09.2022","4,7162","4,7163","4,7463","4,6985","128,67K","0,14%"
"02.09.2022","4,7097","4,7164","4,7309","4,6929","132,51K","-0,03%"
"01.09.2022","4,7112","4,7237","4,7325","4,7043","148,57K","-0,24%"
"31.08.2022","4,7223","4,7243","4,7425","4,7131","143,10K","0,05%"
"30.08.2022","4,7199","4,7352","4,7432","4,7176","153,95K","-0,22%"
"29.08.2022","4,7303","4,7452","4,7594","4,7232","124,71K","-0,01%"
"26.08.2022","4,7307","4,7388","4,7623","4,7293","117,89K","-0,05%"
"25.08.2022","4,7329","4,7708","4,7759","4,7354","148,24K","-0,64%"